year,pcippp
1900,4091
1901,4464
1902,4421
1903,4551
1904,4410
1905,4642
1906,5079
1907,5065
1908,4561
1909,5017
1910,4964
1911,5046
1912,5201
1913,5301
1914,4799
1915,4864
1916,5459
1917,5248
1918,5659
1919,5680
1920,5552
1921,5323
1922,5540
1923,6164
1924,6233
1925,6282
1926,6602
1927,6576
1928,6569
1929,6899
1930,6213
1931,5691
1932,4908
1933,4777
1934,5114
1935,5467
1936,6204
1937,6430
1938,6126
1939,6561
1940,7010
1941,8206
1942,9741
1943,11518
1944,12333
1945,11709
1946,9197
1947,8886
1948,9065
1949,8944
1950,9561
1951,10116
1952,10316
1953,10613
1954,10359
1955,10897
1956,10914
1957,10920
1958,10631
1959,11230
1960,11328
1961,11402
1962,11905
1963,12242
1964,12773
1965,13419
1966,14134
1967,14330
1968,14863
1969,15179
1970,15030
1971,15304
1972,15944
1973,16689
1974,16491
1975,16284
1976,16975
1977,17567
1978,18373
1979,18789
1980,18577
1981,18856
1982,18325
1983,18920
1984,20123
1985,20717
1986,21236
1987,21788
1988,22499
1989,23059
1990,23201
1991,22849
1992,23298
1993,23616
1994,24279
1995,24603
1996,25230
1997,26052
1998,26824
1999,27699
